iter	Passed	Remaining
630	3228	1888
631	3233	1883
632	3239	1877
633	3243	1872
634	3248	1867
635	3253	1862
636	3258	1856
637	3263	1851
638	3269	1846
639	3274	1841
640	3279	1836
641	3284	1831
642	3289	1826
643	3294	1821
644	3299	1815
645	3304	1810
646	3310	1805
647	3315	1800
648	3320	1795
649	3325	1790
650	3330	1785
651	3335	1780
652	3340	1775
653	3345	1770
654	3350	1764
655	3355	1759
656	3360	1754
657	3365	1749
658	3371	1744
659	3375	1739
660	3381	1733
661	3386	1728
662	3391	1723
663	3396	1718
664	3401	1713
665	3406	1708
666	3411	1703
667	3416	1697
668	3421	1692
669	3426	1687
670	3430	1682
671	3435	1677
672	3441	1671
673	3446	1666
674	3451	1661
675	3456	1656
676	3461	1651
677	3466	1646
678	3471	1641
679	3476	1636
680	3481	1630
681	3486	1625
682	3491	1620
683	3496	1615
684	3501	1610
685	3506	1604
686	3511	1599
687	3516	1594
688	3521	1589
689	3526	1584
690	3531	1579
691	3536	1574
692	3541	1568
693	3546	1563
694	3551	1558
695	3556	1553
696	3561	1548
697	3566	1543
698	3571	1538
699	3576	1532
700	3581	1527
701	3587	1522
702	3592	1517
703	3597	1512
704	3602	1507
705	3607	1502
706	3612	1497
707	3617	1491
708	3622	1486
709	3627	1481
710	3633	1476
711	3638	1471
712	3643	1466
713	3648	1461
714	3653	1456
715	3658	1451
716	3664	1446
717	3668	1441
718	3673	1435
719	3679	1430
720	3684	1425
721	3689	1420
722	3694	1415
723	3700	1410
724	3705	1405
725	3710	1400
726	3715	1395
727	3720	1390
728	3725	1385
729	3730	1379
730	3735	1374
731	3740	1369
732	3746	1364
733	3751	1359
734	3756	1354
735	3761	1349
736	3766	1344
737	3772	1339
738	3777	1334
739	3782	1329
740	3787	1323
741	3793	1318
742	3798	1313
743	3803	1308
744	3809	1303
745	3814	1298
746	3819	1293
747	3824	1288
748	3829	1283
749	3834	1278
750	3840	1273
751	3845	1268
752	3850	1262
753	3855	1257
754	3860	1252
755	3865	1247
756	3871	1242
757	3876	1237
758	3881	1232
759	3887	1227
760	3892	1222
761	3897	1217
762	3902	1212
763	3907	1207
764	3912	1201
765	3917	1196
766	3923	1191
767	3928	1186
768	3933	1181
769	3938	1176
770	3943	1171
771	3948	1166
